instance,size,best,idpmin,clingo,first2opt,firstoropt1,firstoropt2,tabu2opt,tabuoropt1,tabuoropt2,best2opt,bestoropt1,bestoropt2,ILS1,ILS2,ILS3,ILS4,LNS1,LNS2
burma14,14,0.00%,0.00%,0.00%,0.39%,23.42%,27.05%,0.39%,20.37%,22.49%,0.39%,20.37%,22.49%,0.00%,0.00%,0.00%,0.00%,6.26%,3.63%
ulysses16,16,0.00%,0.00%,1.65%,0.23%,14.76%,5.04%,1.63%,8.39%,13.03%,1.63%,8.39%,13.03%,1.65%,0.23%,0.23%,1.78%,2.61%,0.00%
br17,17,0.00%,0.00%,0.00%,0.00%,36.07%,4.88%,0.00%,38.10%,17.02%,0.00%,38.10%,17.02%,0.00%,0.00%,0.00%,0.00%,0.00%,13.33%
gr17,17,0.00%,2.66%,0.00%,0.24%,11.91%,9.58%,2.66%,6.96%,12.21%,2.66%,6.96%,12.21%,3.34%,0.24%,0.24%,0.24%,1.60%,2.66%
gr21,21,0.00%,14.74%,20.12%,3.42%,19.63%,25.12%,3.42%,24.83%,23.96%,3.42%,24.83%,23.96%,0.00%,3.42%,3.42%,0.00%,4.21%,20.48%
ulysses22,22,0.00%,3.98%,5.10%,0.00%,15.92%,15.58%,2.58%,19.25%,4.38%,2.58%,19.25%,4.38%,2.53%,0.00%,0.00%,0.00%,3.44%,3.98%
gr24,24,0.55%,12.64%,40.03%,5.22%,16.64%,27.44%,0.55%,20.99%,18.57%,0.55%,20.99%,18.57%,3.42%,4.43%,4.43%,2.15%,18.62%,29.37%
fri26,26,0.00%,25.69%,42.87%,0.00%,5.26%,28.36%,1.68%,2.50%,10.33%,1.68%,2.50%,10.33%,1.88%,0.00%,0.00%,4.19%,14.35%,31.56%
bayg29,29,0.00%,26.58%,42.17%,1.95%,19.78%,22.48%,1.77%,20.73%,16.71%,1.77%,20.73%,16.71%,1.11%,0.00%,0.31%,3.36%,8.16%,30.09%
bays29,29,0.64%,29.10%,54.46%,1.32%,24.49%,23.16%,2.23%,21.80%,26.55%,2.23%,21.80%,26.55%,1.32%,0.64%,0.64%,0.69%,29.96%,54.57%
ftv33,33,7.95%,30.79%,57.66%,37.18%,31.34%,27.79%,,24.88%,35.57%,17.35%,24.88%,35.57%,17.30%,17.62%,22.48%,7.95%,21.87%,67.23%
ftv35,35,7.59%,43.32%,57.42%,28.63%,26.31%,33.74%,15.44%,18.03%,32.40%,16.64%,18.03%,32.40%,17.01%,18.62%,18.84%,7.59%,71.16%,43.91%
ftv38,38,14.19%,50.26%,55.32%,44.79%,29.98%,28.50%,,29.00%,27.04%,23.23%,29.00%,27.04%,14.19%,23.65%,24.96%,15.84%,16.07%,43.00%
swiss42,42,7.62%,46.65%,64.79%,10.23%,26.97%,27.71%,7.62%,32.18%,25.73%,7.62%,32.18%,25.73%,8.29%,8.29%,8.29%,9.20%,51.94%,43.75%
dantzig42,42,0.00%,45.94%,45.35%,0.00%,35.40%,28.31%,8.15%,26.19%,26.34%,8.15%,26.19%,26.34%,0.00%,0.00%,0.00%,0.00%,75.80%,75.02%
p43,43,0.23%,2.12%,1.06%,0.28%,49.52%,1.11%,0.44%,49.20%,1.07%,0.44%,49.20%,1.07%,0.23%,0.28%,0.28%,0.67%,53.70%,49.08%
ftv44,44,13.14%,51.95%,55.69%,37.82%,22.23%,37.46%,13.14%,29.62%,40.17%,22.67%,29.62%,40.17%,18.33%,18.41%,21.62%,13.47%,29.96%,49.44%
ftv47,47,15.87%,53.08%,64.54%,55.94%,27.15%,38.46%,18.49%,28.62%,44.45%,19.86%,28.62%,44.45%,20.61%,25.91%,15.87%,22.82%,34.90%,55.51%
ry48p,48,1.54%,48.38%,64.18%,11.45%,24.71%,26.19%,,15.97%,14.99%,5.21%,15.97%,14.99%,4.19%,3.11%,3.13%,1.54%,37.54%,48.18%
att48,48,2.85%,47.26%,68.17%,5.10%,19.69%,30.77%,2.85%,20.25%,22.99%,2.85%,20.25%,22.99%,7.72%,3.51%,3.51%,6.68%,23.76%,38.12%
gr48,48,2.19%,60.37%,66.34%,4.63%,24.45%,27.07%,2.38%,27.72%,22.43%,2.38%,27.72%,22.43%,2.19%,4.63%,4.63%,4.97%,35.51%,64.16%
hk48,48,3.52%,55.67%,66.08%,5.45%,22.14%,27.14%,3.52%,33.52%,27.06%,3.52%,33.52%,27.06%,7.30%,5.11%,5.11%,8.60%,26.37%,36.65%
eil51,51,3.40%,55.49%,68.40%,7.59%,29.00%,27.67%,3.40%,22.55%,28.04%,3.40%,22.55%,28.04%,6.37%,3.40%,3.40%,6.58%,44.46%,54.49%
berlin52,52,2.67%,56.65%,62.82%,12.48%,29.30%,36.48%,4.06%,21.89%,12.91%,4.06%,21.89%,12.91%,2.67%,9.21%,9.21%,6.21%,49.89%,41.92%
ft53,53,15.73%,55.37%,53.41%,64.33%,29.12%,33.46%,,24.48%,32.24%,31.94%,24.48%,32.24%,15.73%,64.53%,64.53%,29.12%,72.73%,72.57%
ftv55,55,12.37%,63.65%,69.55%,53.62%,36.67%,36.11%,15.10%,31.66%,37.09%,12.37%,31.66%,37.09%,36.19%,53.98%,54.23%,19.64%,69.89%,77.43%
brazil58,58,0.02%,60.11%,62.49%,2.44%,25.48%,33.91%,4.65%,41.20%,31.90%,4.65%,41.20%,31.90%,0.02%,2.44%,2.44%,2.03%,46.92%,58.66%
ftv64,64,12.14%,71.27%,70.63%,55.36%,31.61%,35.59%,,36.10%,40.98%,18.63%,36.10%,40.98%,24.54%,56.68%,56.71%,12.14%,75.05%,63.21%
st70,70,1.46%,73.35%,77.98%,10.24%,31.75%,29.76%,1.46%,23.81%,24.67%,1.46%,23.81%,24.67%,6.51%,5.99%,5.99%,2.88%,48.71%,61.65%
ft70,70,9.60%,37.23%,37.49%,34.16%,12.50%,15.44%,11.94%,11.13%,19.16%,15.95%,11.13%,19.16%,12.21%,34.94%,34.94%,9.60%,39.27%,41.06%
ftv70,70,22.16%,70.28%,68.73%,55.20%,40.24%,42.34%,22.16%,36.46%,36.40%,22.65%,36.46%,36.40%,23.35%,55.20%,56.07%,29.65%,78.33%,80.52%
pr76,76,1.96%,77.39%,70.36%,5.42%,36.59%,73.60%,4.44%,23.89%,44.93%,4.44%,23.89%,25.92%,1.96%,4.55%,4.55%,5.92%,82.41%,82.32%
eil76,76,5.94%,68.30%,76.31%,8.97%,16.85%,34.71%,6.92%,37.73%,28.74%,6.92%,37.73%,28.74%,5.94%,6.27%,6.27%,7.40%,42.58%,60.06%
gr96,96,3.72%,81.91%,71.75%,5.34%,34.87%,84.58%,3.72%,53.68%,84.89%,3.72%,34.52%,76.18%,4.27%,4.38%,4.78%,5.89%,85.11%,84.71%
rat99,99,2.81%,77.38%,80.79%,3.97%,39.08%,77.91%,11.73%,53.37%,74.71%,11.73%,28.39%,73.21%,4.72%,2.81%,2.81%,9.76%,83.68%,83.62%
kroB100,100,3.89%,83.26%,85.00%,8.99%,24.44%,84.96%,7.13%,74.23%,79.25%,7.13%,73.65%,79.25%,3.89%,5.02%,5.69%,6.40%,85.43%,85.32%
kroC100,100,2.35%,86.81%,85.43%,11.07%,38.98%,84.22%,6.74%,72.13%,80.44%,6.74%,67.30%,80.44%,6.65%,9.51%,9.51%,2.35%,81.47%,77.21%
kroD100,100,2.57%,84.22%,84.81%,4.62%,24.00%,82.69%,2.57%,67.32%,76.19%,2.57%,60.20%,77.53%,3.85%,2.79%,3.56%,3.49%,77.20%,85.92%
kroE100,100,3.07%,83.60%,86.48%,7.96%,33.90%,87.31%,5.79%,73.32%,81.67%,5.79%,71.48%,80.37%,5.43%,3.07%,4.16%,6.33%,70.82%,84.10%
rd100,100,6.24%,81.49%,84.50%,9.88%,29.79%,82.94%,8.79%,53.91%,78.86%,8.79%,37.16%,71.75%,9.87%,7.59%,6.82%,6.24%,71.16%,77.77%
kroA100,100,2.14%,84.72%,85.77%,8.88%,39.22%,72.32%,9.02%,68.63%,72.22%,9.02%,65.22%,73.51%,4.89%,5.55%,4.77%,2.14%,78.82%,79.01%
eil101,101,5.13%,75.71%,78.62%,8.84%,25.30%,79.61%,7.09%,56.98%,78.77%,7.09%,51.58%,72.58%,5.13%,6.68%,6.26%,6.54%,72.41%,77.89%
lin105,105,0.91%,85.50%,85.12%,1.82%,44.23%,83.10%,11.38%,75.17%,84.54%,11.38%,73.00%,81.92%,5.96%,0.91%,0.91%,2.48%,88.01%,87.89%
